globaleventid,day,monthyear,year,fractiondate,actor1code,actor1name,actor1countrycode,actor1knowngroupcode,actor1ethniccode,actor1religion1code,actor1religion2code,actor1type1code,actor1type2code,actor1type3code,actor2code,actor2name,actor2countrycode,actor2knowngroupcode,actor2ethniccode,actor2religion1code,actor2religion2code,actor2type1code,actor2type2code,actor2type3code,isrootevent,eventcode,eventbasecode,eventrootcode,quadclass,goldsteinscale,nummentions,numsources,numarticles,avgtone,actor1geo_type,actor1geo_fullname,actor1geo_countrycode,actor1geo_adm1code,actor1geo_adm2code,actor1geo_lat,actor1geo_long,actor1geo_featureid,actor2geo_type,actor2geo_fullname,actor2geo_countrycode,actor2geo_adm1code,actor2geo_adm2code,actor2geo_lat,actor2geo_long,actor2geo_featureid,actiongeo_type,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_long,actiongeo_featureid,dateadded,sourceurl,eped_uuid,eped_source_url,eped_sec_classification,eped_source,eped_intake_dt,eped_retention_m,eped_purge_dt,eped_customer,eped_customer_request,eped_customer_request_location
1094969854,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,HLH,NURSE,,,,,,HLH,,,0,36,36,3,1,4.0,4,1,4,7.32323232323232,3,"Cerritos College, California, United States",US,USCA,CA037,33.8852,-118.097,240447,3,"Cerritos College, California, United States",US,USCA,,33.8852,-118.097,240447,3,"Cerritos College, California, United States",US,USCA,,33.8852,-118.097,240447,2023-04-11 14:00:00,https://www.presstelegram.com/2023/04/11/cerritos-college-awarded-480k-grant-to-expand-registered-nurse-training-program/,38c043b2-71cf-4581-9239-04e35f78a812,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969857,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,0,120,120,12,3,-4.0,4,1,4,-0.93457943925234,3,"Secaucus, New Jersey, United States",US,USNJ,NJ017,40.7895,-74.0565,880457,3,"Secaucus, New Jersey, United States",US,USNJ,NJ017,40.7895,-74.0565,880457,3,"Secaucus, New Jersey, United States",US,USNJ,NJ017,40.7895,-74.0565,880457,2023-04-11 14:00:00,https://www.thespreadit.com/norman-reedus-bite-fan-67226/,5edaad08-db49-4a1d-a346-3feef9c66aae,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969860,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,IGOUNODEVWBK,WORLD BANK,,UNO,,,,IGO,DEV,,1,51,51,5,1,3.4,1,1,1,3.25203252032521,3,"The World Bank, District of Columbia, United States",US,USDC,DC001,38.8996,-77.0422,530033,3,"The World Bank, District of Columbia, United States",US,USDC,,38.8996,-77.0422,530033,4,"Colombo, Western, Sri Lanka",CE,CE36,25852,6.93194,79.8478,-2214877,2023-04-11 14:00:00,https://www.outlookindia.com/business/world-bank-ensures-continued-support-for-sri-lanka-economic-recovery-news-277671,83d2cd64-c841-40aa-997d-357cadc1a66e,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969863,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,IRL,IRISH,IRL,,,,,,,,0,43,43,4,1,2.8,1,1,1,2.32558139534883,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,5,"County Mayo, Mayo, Ireland",EI,EI20,18298,53.9,-9.25,-1504468,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2023-04-11 14:00:00,https://indianexpress.com/article/explained/explained-global/expert-explains-past-and-presidents-politics-and-cultural-signalling-in-bidens-ireland-visit-8550999/,de9b5d00-1955-4c3a-806d-1a5f4a0c041a,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969864,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,IRL,IRISH,IRL,,,,,,,,0,43,43,4,1,2.8,1,1,1,2.32558139534883,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2023-04-11 14:00:00,https://indianexpress.com/article/explained/explained-global/expert-explains-past-and-presidents-politics-and-cultural-signalling-in-bidens-ireland-visit-8550999/,96df2e4b-22fd-4c59-bd62-5e038229b5d6,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969865,20230411,202304,2023,2023.2767,USA,THE US,USA,,,,,,,,IRL,IRISH,IRL,,,,,,,,0,45,45,4,1,5.0,8,1,8,1.3986013986014,1,Ireland,EI,EI,,53.0,-8.0,EI,1,Ireland,EI,EI,,53.0,-8.0,EI,1,Ireland,EI,EI,,53.0,-8.0,EI,2023-04-11 14:00:00,https://www.msn.com/en-in/news/world/biden-reaches-northern-ireland-to-mark-25-year-anniversary-of-peace-deal/ar-AA19InXk,aeb16862-e682-4f79-b025-2d4239491441,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969868,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,IRLCVL,IRELAND,IRL,,,,,CVL,,,0,43,43,4,1,2.8,1,1,1,2.32558139534883,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,5,"County Mayo, Mayo, Ireland",EI,EI20,18298,53.9,-9.25,-1504468,2,"Massachusetts, United States",US,USMA,,42.2373,-71.5314,MA,2023-04-11 14:00:00,https://indianexpress.com/article/explained/explained-global/expert-explains-past-and-presidents-politics-and-cultural-signalling-in-bidens-ireland-visit-8550999/,3531c658-5e40-47db-b66a-def9d7c2287f,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969872,20230411,202304,2023,2023.2767,USA,NEW YORK,USA,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,43,43,4,1,2.8,5,1,5,-0.74626865671642,2,"New York, United States",US,USNY,,42.1497,-74.9384,NY,1,Iran,IR,IR,,32.0,53.0,IR,1,Iran,IR,IR,,32.0,53.0,IR,2023-04-11 14:00:00,https://www.thespreadit.com/mahmoud-ahmadinejad-sends-donald-trump-a-letter-urging-him-to-be-more-welcoming-75646/,c071e7d1-dcae-4bb9-b7c7-9614514521d3,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969873,20230411,202304,2023,2023.2767,USA,UNITED STATES,USA,,,,,,,,ITA,ITALY,ITA,,,,,,,,1,193,193,19,4,-10.0,2,1,2,4.36628259551243,1,Spain,SP,SP,,40.0,-4.0,SP,1,United States,US,US,,39.828175,-98.5795,US,1,Serbia,RI,RI,,44.0,21.0,RI,2023-04-11 14:00:00,http://paulgravett.com/articles/article/sergio_toppi,370e1bd5-8ba7-4c68-b93d-cc322faaaf7b,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
1094969875,20230411,202304,2023,2023.2767,USA,THE US,USA,,,,,,,,JPN,JAPAN,JPN,,,,,,,,1,46,46,4,1,7.0,10,1,10,-2.94117647058823,1,Japan,JA,JA,,36.0,138.0,JA,1,Japan,JA,JA,,36.0,138.0,JA,1,Japan,JA,JA,,36.0,138.0,JA,2023-04-11 14:00:00,https://biztoc.com/x/aa5ed128af59e06d,19ffbfd8-7096-4894-b2c2-5e7cfb87b5d6,http://data.gdeltproject.org/gdeltv2/lastupdate.txt,PAI,gdelt,2023-04-11,12,2024-04-05,,,
